Province,District,Recency District,Facility,DATIM Site Name,DATIM Org ID,Facility ID,Province Code,District Code,EHR Version,Activation Status,EHR Type,IP Address,Implementing Partner,Type,Ownership,Location,Level,Status
Midlands,Mberengwa,Mberengwa,Gwarawa Rural Health Centre,Gwarava - 100565 - Rural Health Centre,l41qggZoaFK,ZW070601,ZW07,,,,,192.168.10.1,ZHI,RHC,Government,Rural,Primary,Open
Matabeleland South,Insiza,Insiza,Gwatemba Rural Health Centre,Gwatemba - 100566 - Rural Health Centre,y6M9rtUuWa9,ZW060402,ZW06,,,,,192.168.10.3,Ophid,RHC,Government,Rural,,
Mash West,Zvimba,Zvimba,Gwebi Rural Health Centre,Gwebi - 100568 - Clinic,nvq6i0w1qfR,ZW040702,ZW04,,,,,,ZIMTTECH,RHC,Government,Peri-Urban,Primary,RURAL
Matabeleland North,Nkayi,Nkayi,Gwelutshena Clinic,Gwelutshena - 100569 - Rural Health Centre,htw8zSoHZp1,ZW050533,ZW05,,,,,10.89.16.3,ZIMTTECH,RHC,Government,Rural,Primary,Open
Manicaland,Chipinge,Chipinge,Gwenzi Clinic,Gwenzi - 100570 - Clinic,cQ6zS5sLoW0,ZW010390,ZW01,,,,,192.168.10.2,ZHI,Mission Clinic,Mission,Rural,Primary,Open
Midlands,Gweru,Gweru,Gweru District Hospital,Gweru- 101883 -District Hospital,R0AbzHF3tB6,ZW07040B,ZW07,,,,,192.168.1.3,ZHI,District Hospital,Government,Urban,Secondary,
Midlands,Gweru,Gweru,Gweru Provincial Hospital,Gweru - 100572 - Provincial Hospital,pQhsTO2zXMS,ZW07040A,ZW07,,,,,,ZHI,Provincial Hospital,Government,Urban,Secondary,
Manicaland,Mutare,Mutare,Gwindingwi ,Gwindingwi - 100574 - Rural Health Centre,X7Tj1WoSu8a,ZW010505,ZW01,,,,,,ZHI,RHC,Government,Rural,Primary,Open
Harare,ha Harare Central South Eastern District,Harare,ha Arcadia Clinic,Arcadia - 100015 - Clinic,xF2C4VhTlZh,ZW000A02,ZW00,,,,,172.16.39.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha North Western District,Harare,ha Avondale Clinic,Avondale - 100030 - Clinic,XY1ZmfDOMmZ,ZW000A01,ZW00,,,,,172.16.41.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Northern District,Harare,ha Borrowdale Clinic,Borrowdale - 100086 - Clinic,OTxAHTpF4h8,ZW000A07,ZW00,,,,,172.16.0.3,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Harare Central South Eastern District,Harare,ha Braeside FHS Clinic,Braeside - 100091 - Clinic,d46RVdpyvCT,ZW000A08,ZW00,,,,,172.16.40.3,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha West South West District,Harare,ha Budiriro PolyClinic,Budiriro - 100098 - Poly Clinic,xYSGGiMshib,ZW000A09,ZW00,,,,,172.16.4.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha West South West District,Harare,ha Budiriro Satellite Clinic,Budiriro - 101889 - Satelite Clinic,XVardljEe1B,ZW000A69,ZW00,,,,,172.16.35.3,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Southern District,Harare,ha Cceshar Clinic,Cceshar Clinic,cnmWmKfu0St,ZW000A2601,ZW00,,,,,,,RHC,Town/City Council,Urban,Primary,
Harare,ha Eastern District,Harare,ha Eastley FHS Clinic,Eastly - 100433 - Clinic,JCa4cIM0RG8,ZW000A10,ZW00,,,,,172.16.35.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha South Western District,Harare,ha Glen Norah Satellite Clinic,Glen Norah - 100506 - Satellite clinic,DJjkezUgUFu,ZW000A11,ZW00,,,,,172.16.31.3,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha West South West District,Harare,ha Glen View PolyClinic,Glen View - 100507 - Poly clinic,ja1btrIkyqi,ZW000A13,ZW00,,,,,172.16.25.3,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha West South West District,Harare,ha Glen View Satellite Clinic,Glen View - 100508 - Satellite clinic,eduFmnFLTUs,ZW000A14,ZW00,,,,,172.16.30.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Eastern District,Harare,ha Greendale FHS Clinic,Greendale - 100535 - Clinic,PkocfPqfGu8,ZW000A15,ZW00,,,,,172.16.0.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Northern District,Harare,ha Hatcliffe PolyClinic,Hatcliffe - 100584 - Poly clinic,XS02URbnDnM,ZW000A17,ZW00,,,,,,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Harare Central South Eastern District,Harare,ha Hatfield Clinic,Hatfield - 100585 - Clinic,cHDIcWqWkBu,ZW000A44,ZW00,,,,,172.16.39.3,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha South Western District,Harare,ha Highfield PolyClinic,Highfield - 100593 - Poly Clinic,t4lPPMcgk0s,ZW000A18,ZW00,,,,,172.16.32.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Northern District,Harare,ha Highlands FHS Clinic,Highlands - 100596 - Clinic,ASj7bwCPpfG,ZW000A52,ZW00,,,,,172.16.1.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Eastern District,Harare,ha Highlands Primary Care Clinic,Highlands - 100595 - Private Clinic,P2FWzBdox8O,ZW000A46,ZW00,,,,,172.16.40.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Southern District,Harare,ha Hopley Clinic,Hopley - 100608 - Clinic,oRwZ75p6Z00,ZW000A53,ZW00,,,,,172.16.34.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Western District,Harare,ha Kambuzuma PolyClinic,Kambuzuma - 100695 - Poly clinic,IcMRUqrfO0g,ZW000A19,ZW00,,,,,172.16.25.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Western District,Harare,ha Kuwadzana PolyClinic,Kuwadzana - 100751 - Poly Clinic,mgvYC5iaGlA,ZW000A20,ZW00,,,,,172.16.29.3,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha North Western District,Harare,ha Mabelreign Satellite Clinic,Mabelreign - 100791 - satellite clinic,GiKSrbGbNAC,ZW000A21,ZW00,,,,,172.16.2.3,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Eastern District,Harare,ha Mabvuku PolyClinic,Mabvuku - 100797 - Poly Clinic,sntNZ6rKWvX,ZW000A23,ZW00,,,,,172.16.26.3,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Eastern District,Harare,ha Mabvuku Satellite,Mabvuku - 100796 - Clinic,zENFk5xSzeW,ZW000A47,ZW00,,,,,172.16.36.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha North Western District,Harare,ha Marlborough Satellite Clinic,Malborough - 100860 - Council Clinic,yUbJDbhL4cI,ZW000A45,ZW00,,,,,172.16.2.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Southern District,Harare,ha Mashambanzou Care Trust Hospital ,Mashambanzou Care Trust Hospital,v0iHXEbCcQ2,ZW000A0Z,ZW00,,,,,,,General Hospital,Town/City Council,Urban,Secondary,
Harare,ha Southern District,Harare,ha Matapi Clinic,Matapi - 100944 - Clinic,exKZ5IdVQyh,ZW000A25,ZW00,,,,,172.16.7.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Southern District,Harare,ha Mbare Hostels Clinic,Mbare Hostels - 100988 - Clinic,NPoi0Ng8a6c,ZW000A26,ZW00,,,,,172.16.43.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Southern District,Harare,ha Mbare PolyClinic,Mbare - 100987 - Poly clinic,AzZ3WumAYih,ZW000A27,ZW00,,,,,172.16.26.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Northern District,Harare,ha Mount Pleasant Clinic,Mt. Pleasant - 101062 - Clinic,wxMqwERkFUm,ZW000A28,ZW00,,,,,172.16.3.3,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha West South West District,Harare,ha Mufakose FHS,Mufakose FHS,ZW000A114,ZW000A114,ZW00,,,,,,,RHC,Town/City Council,Urban,Primary,
Harare,ha West South West District,Harare,ha Mufakose PolyClinic,Mufakose - 101085 - Poly clinic,fhbHedZcFX3,ZW000A29,ZW00,,,,,172.16.9.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Harare Central South Eastern District,Harare,ha Parirenyatwa Clinic,Parirenyatwa Clinic,XegPY4kjPBc,ZW000A30,ZW00,,,,,172.16.36.3,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha North Western District,Harare,ha Rujeko PolyClinic,Rujeko - 101469 - Poly clinic,pm1bccUnuIo,ZW000A33,ZW00,,,,,172.16.27.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha South Western District,Harare,ha Rutsanana PolyClinic,Rutsanana - 101491 - Clinic,WDf2wSPeJPp,ZW000A34,ZW00,,,,,172.16.28.3,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha South Western District,Harare,ha Southerton Clinic,Southerton - 101619 - Clinic,g8BfFOI44ii,ZW000A35,ZW00,,,,,172.16.33.3,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Southern District,Harare,ha Sunningdale Clinic,Sunningdale - 101657 - Satellite Clinic,Vr63gV2X6vv,ZW000A37,ZW00,,,,,172.16.4.3,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Eastern District,Harare,ha Tafara FHS Clinic,Tafara - 101669 - Clinic,eScYy7KYs2U,ZW000A38,ZW00,,,,,172.16.38.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Western District,Harare,ha Warren Park PolyClinic,Warren Park - 101760 - Poly clinic,sA086jVRd7Z,ZW000A39,ZW00,,,,,172.16.28.131,Zimtech,RHC,Town/City Council,Urban,Primary,
Harare,ha Southern District,Harare,ha Waterfalls Clinic,Waterfalls - 101761 - Clinic,YsapFO7P1Qn,ZW000A41,ZW00,,,,,172.16.43.3,Zimtech,RHC,Town/City Council,Urban,Primary,
Matabeleland South,Umzingwane,Umzingwane,Habane Clinic,Habani - 100578 - Clinic,MJItwbZps26,ZW060626,ZW06,,,,,192.168.10.1,Ophid,RDC,Rural Council,Rural,,
Masvingo,Zaka,Zaka,Harava Rural Health Centre,Harava - 100583 - Rural Health Centre,s0NGujuznMj,ZW080702,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Government,Rural,Primary,Open
Manicaland,Mutasa,Mutasa,Hauna Clinic,Hauna - 101855 - Clinic,S9ItwIxzitL,ZW010627,ZW01,,,,,192.168.10.2,ZHI,RDC,Rural Council,Rural,,Open
Manicaland,Mutasa,Mutasa,Hauna District Hospital,Hauna - 100586 - District Hospital,ivSpKPosBuc,ZW01060F,ZW01,,,,,10.20.7.133,ZHI,District Hospital,Government,Rural,,Open
Manicaland,Makoni,Makoni,Headlands Clinic,Headlands - 100587 - Clinic,pcXd2hwfzZV,ZW010440,ZW01,,,,,,,RDC,Rural Council,Rural,Primary ,Open
Mashonaland West,Hurungwe,Hurungwe,Helwin Clinic,Hewiyai - 100592 - Council Clinic,FErcn3drSxC,ZW040245,ZW04,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Mashonaland Central,Mazowe,Mazowe,HENDERSON,Henderson Research - 100590 - Clinic,AQIqrtTtCJk,ZW020475,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Council,Farming,Primary,Open
Mashonaland East,Goromonzi,Goromonzi,Henry John Reimer Clinic,John Reimer - 100668 - Clinic,qu3G86fX87g,ZW030247,ZW03,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,clinic,Active
Mashonaland West,Zvimba,Zvimba,Herbert Chitepo,Herbert Chitepo,Hiy4IS8bwoM,ZW040794,ZW04,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Peri-Urban,Primary,RURAL
Mashonaland West,Hurungwe,Hurungwe,Hesketh Clinic,Hesketh - 100591 - Council Clinic,P7NGBmcP9C5,ZW040246,ZW04,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Matabeleland South,Bulilima,Bulilima,Hingwe Rural Health Centre,Hingwe - 100598 - Clinic,pAUXg8FfZlS,ZW060220,ZW06,,,,,192.168.10.1,Ophid,RHC,Government,Rural,,
Manicaland,MutareCity,Mutare,Hobhouse Clinic,Hob House - 100601 - Clinic,zUEyrYaMPsk,ZW010560,ZW01,,,,,,,General Hospital,Town/City Council,Urban,Primary,Open
Mashonaland Central,Mazowe,Mazowe,HOLME EDEN,Holmeden - 100602 - Clinic,nBhXXzVv97q,ZW020446,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Council,Farming,Primary,Open
Mashonaland East,UMP,UMP,Hombiro Clinic,Hombiro Clinic,Jv9z4R9jYGY,ZW030340,ZW03,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,clinic,Active
Mash West,Makonde,Makonde,Hombwe RDC Clinic,Hombwe - 100604 - Clinic,ZmW2BIboGNI,ZW040425,ZW04,,,,,,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Mash West,Chegutu,Chegutu,Homedale Clinic,Homedale - 100605 - Clinic,OqAMtX2JCN2,ZW040178,ZW04,,,,,,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Matabeleland South,Matobo,Matobo,Homestead Rural Health Centre,Homestead - 100606 - Rural Health Centre,Zjgwzp0iPau,ZW060503,ZW06,,,,,192.168.10.1,Ophid,RHC,Government,Rural,,
Mashonaland Central,Mazowe,Mazowe,HORTA,Horta Clinic,D8mSnH95ECd,ZW020490,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Council,Farming,Primary,Open
Matabeleland South,Umzingwane,Umzingwane,How Mine Clinic,How Mine - 100610 - Mine Clinic,e4A1s0LVXW8,ZW060676,ZW06,,,,,192.168.10.1,Ophid,RHC,Mine,Rural,,
Mashonaland Central,Mazowe,Mazowe,HOWARD,Howard - 100611 - Mission Hospital,zD7ADf9HixR,ZW02040C,ZW02,,,,,10.71.6.10,ZACC,Hospital,Mission,Rural,Primary,Open
Midlands,Gweru,Gweru,Hozhori,Hozheri - 100615 - Clinic,jtWtzBZSo3X,ZW070494,ZW07,,,,,,ZHI,,,,,
Midlands,Gokwe South,Gokwe South,Huchu,Huchu - 100617 - Clinic,HOkDsYNkFWL,ZW070397,ZW07,,,,,,ZHI,,,,,
Mashonaland West,Hurungwe,Hurungwe,Hurungwe Rural Hospital,Hurungwe - 100619 - Rural Hospital,iaOOpWV2fiF,ZW0402OB,ZW04,,,,,,,Rural Hospital,Government,Rural,Primary,Open
Matabeleland South,Bulilima,Bulilima,Huwana Clinic,Huwana - 100620 - Clinic,rkQa7RnEWDS,ZW060202,ZW06,,,,,192.168.10.1,Ophid,RDC,Rural Council,Rural,,
Mashonaland Central,Mazowe,Mazowe,I/DUKE,Iron Duke - 100645 - Clinic,ArQWoi5EBdb,ZW020476,ZW02,,,,,,ZIMTTECH,RHC,Gvt,Mining,Secondary,Open
Mashonaland East,Marondera,Marondera,Igava Council Clinic,Igava - 100627 - Clinic,IIA4YLWqC6F,ZW030545,ZW03,,,,,192.168.1.10,ZIMTTECH,RHC,Town/City Council,Rural,clinic,Active
Matabeleland North,Umguza,Umguza,Igusi Rural Health Centre,Igusi - 100628 - Clinic,qiTBYlmXMwX,ZW050703,ZW05,,,,,,ZIMTTECH,RHC,Government,Rural,Primary,Open
Midlands,Mberengwa,Mberengwa,Imbahuru Clinic,Imbahuru - 100629 - Clinic,Ocwsmwt9N25,ZW070632,ZW07,,,,,,ZHI,RDC,Rural Council,Rural,Primary,Open
Mashonaland West,Sanyati,Sanyati,Ingezi clinic,Ingezi - 100636 - Municipality,C78N7IY0RQT,ZW040636,ZW04,,,,,192.168.10.1,ZIMTTECH,,,,,
Midlands,Mberengwa,Mberengwa,Ingezi Clinic,Ingezi - 100637 - Clinic,soB2Lgw5gnB,ZW070635,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,Open
Matabeleland South,Mangwe,Mangwe,Ingwizi Rural Health Centre,Ingwizi - 100639 - Clinic,ImEOeEnBhCe,ZW060703,ZW06,,,,,192.168.10.1,Ophid,RHC,Government,Rural,,
Matabeleland South,Insiza,Insiza,Insiza Rural Health Centre,Insiza PBS - 100640 - Clinic,ZaWOfFs5CGk,ZW060403,ZW06,,,,,192.168.10.1,Ophid,RHC,Government,Rural,,
Matabeleland North,Bubi,Bubi,Inyathi District Hospital,Inyathi - 100642 - District Hospital,fdsEXNvFfWg,ZW05020A,ZW05,,,,,10.89.4.7,ZIMTTECH,District Hospital,Government,Rural,Secondary,Open
Matabeleland South,Umzingwane,Umzingwane,Irrisvale RHC,Irisvale - 100644 - Rural Health Centre,JHAlEGeE4Cl,ZW060632,ZW06,,,,,192.168.10.1,Ophid,RHC,Government,Rural,,
Matabeleland North,Bubi,Bubi,Isabella Mine Clinic,Isabella Mine - 100647 - Mine Clinic,yahjoGsrzyY,ZW050256,ZW05,,,,,,ZIMTTECH,RHC,Mine,Rural,Primary,Open
Midlands,Gweru,Gweru,Ivene,Ivene - 100649 - Clinic,ixtnyj9buiO,ZW070466,ZW07,,,,,,ZHI,,,,,
Midlands,Gokwe South,Gokwe South,Jahana,Jahana - 100652 - Clinic,zsRDbhBIGQR,ZW070319,ZW07,,,,,,ZHI,,,,,
Mash West,Zvimba,Zvimba,Jari RDC Clinic,Jari - 100655 - Council Clinic,mtoJLmHp5jP,ZW040727,ZW04,,,,,,ZIMTTECH,RDC,Rural Council,Rural,Primary,RURAL
Midlands,Mberengwa,Mberengwa,Jeka Rural Hospital,Jeka - 100656 - Rural Hospital,YtbICY59p63,ZW07060B,ZW07,,,,,10.54.9.3,ZHI,Rural Hospital,Government,Rural,Secondary,Open
Mashonaland East,Murewa,Murewa,Jekwa Rural Health Centre,Jekwa - 100657 - Rural Health Centre,FjEmBSTJkXT,ZW030703,ZW03,,,,,,ZIMTTECH,RHC,Government,Rural,clinic,Active
Midlands,Kwekwe,Kwekwe,Jena mines clinic,Jena Mine - 100658 - Mine Clinic,tmh3MNEV8eO,ZW070577,ZW07,,,,,,ZHI,,,,,
Masvingo,Zaka,Zaka,Jerera Satellite Clinic,Jerera - 100659 - Satelite Clinic,PMfFMZIrZm5,ZW080739,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Rural Council,Rural,Primary,Open
Masvingo,Zaka,Zaka,Jichidza Council Clinic,Jichidza -101867 - Council Clinic,FIVfQy6uvyY,ZW080732,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Masvingo,Zaka,Zaka,Jichidza Mission Clinic,Jichidza - 100662 - Mission Clinic,MN5sIO2VqYH,ZW080791,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Matabeleland North,Tsholotsho,Tsholotsho,Jimila Clinic,Jimila - 100663 - Clinic,Dm57psrUa0O,ZW050628,ZW05,,,,,,ZIMTTECH,RDC,Town/City Council,Rural,Primary,Open
Mashonaland Central,Mazowe,Mazowe,JINGAMVURA,Jingamvura - 100664 - Clinic,TGrveoFxJj2,ZW020427,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Gvt,Rural,Primary,Open
Mash West,Sanyati,Sanyati,Jompani - 100672 - Rural Health Centre,Jompani - 100672 - Rural Health Centre,oIdo1LMkqbS,ZW040601,ZW04,,,,,,ZIMTTECH,,,,,
Mashonaland East,Seke,Seke,Jonasi Clinic,Jonasi - 100673 - Clinic,XvaFMjND2A3,ZW030922,ZW03,,,,,192.168.10.1,ZIMTTECH,RHC,Rural Council,Rural,clinic,Active
Matabeleland North,Lupane,Lupane,Jotsholo Clinic,Jotsholo - 100675 - Clinic,rCYzUIDW7MG,ZW050426,ZW05,,,,,10.89.19.3,ZIMTTECH,RDC,Town/City Council,Rural,Primary,Open
Manicaland,Chipinge,Chipinge,Junction Gate Clinic,Junction Gate - 100676 - Clinic,keLg1H27wuQ,ZW010348,ZW01,,,,,192.168.10.2,ZHI,RDC,Rural Council,Rural,Primary,Open
Midlands,Gweru,Gweru,Kabanga,Kabanga - 100678 - Clinic,HY9D6A9Y6yI,ZW070402,ZW07,,,,,,ZHI,,,,,
Mashonaland East,Murewa,Murewa,Kadenge Rural Health Centre,Kadenge - 100680 - Rural Health Centre,MiLexqDZjQJ,ZW030704,ZW03,,,,,192.168.10.1,ZIMTTECH,RHC,Government,Rural,clinic,Active
Mashonaland West,Sanyati,Sanyati,Kadoma General Hospital,Kadoma - 100681 - District Hosp,wOpjGYcTm6P,ZW04060A,ZW04,,,,,10.67.9.2,ZIMTTECH,General Hospital,Government,Urban,Secondary,Open
Mashonaland East,Murewa,Murewa,Kadzere Rural Health Centre,Kadzere - 100686 - Clinic,CbmWNb9Tcpi,ZW030727,ZW03,,,,,192.168.10.1,ZIMTTECH,RHC,Rural Council,Rural,clinic,Active
Mashonaland East,UMP,UMP,Kafura Rural Health Centre,Kafura - 100688 - Rural Health Centre,jdEFSM3lK1L,ZW030301,ZW03,,,,,192.168.10.1,ZIMTTECH,RHC,Government,Rural,clinic,Active
Matabeleland South,Gwanda,Gwanda,Kafusi Clinic,Kafusi - 100689 - Clinic,N26tcya5qNw,ZW060326,ZW06,,,,,192.168.10.1,Ophid,RHC,Rural Council,Rural,,
Mashonaland Central,Mt Darwin,Mt Darwin,KAITANO,Kaitano - 100691 - Clinic,aRgngorjrfa,ZW020526,ZW02,,,,,192.168.10.1,ZIMTTECH,COUNCIL CLINIC,COUNCIL,Rural,Primary,Open
Mashonaland East,Murewa,Murewa,Kambarami Rural Health Centre,Kambarami - 100693 - Clinic,LEyBzwRbqB1,ZW030749,ZW03,,,,,,ZIMTTECH,RHC,Rural Council,Rural,clinic,Active
Mash West,Makonde,Makonde,Kamhonde Rural Health Centre,Kamonde - 100696 - Clinic,yX2lY2FPwYO,ZW040405,ZW04,,,,,,ZIMTTECH,RHC,Government,Rural,Primary,Open
Mashonaland Central,Mt Darwin,Mt Darwin,KAMUTSENZERE,Kamutsenzere - 100698 - Clinic,FYtb3028m7i,ZW020502,ZW02,,,,,192.168.10.1,ZIMTTECH,GOVERNMENT CLINIC,GOVERNMENT,Rural,Primary,Open
Mash West,Makonde,Makonde,Kamuzingizi - 101919 - Council Clinic,Kamuzingizi - 101919 - Council Clinic,k99EoqaYwen,ZW040492,ZW04,,,,,,ZIMTTECH,,,,,
Midlands,Gokwe South,Gokwe South,Kana Mission Hospital,Kana - 100699 - Mission Hospitals,qKPPhaui7JF,ZW07030C,ZW07,,,,,,ZHI,Mission Hospital,Mission,Rural,Secondary,
Mashonaland Central,Mt Darwin,Mt Darwin,KANDEYA,Kandeya clinic,yvfEluoF3Bu,ZW020538,ZW02,,,,,192.168.10.1.,ZIMTTECH,COUNCIL CLINIC,COUNCIL,Rural,Primary,Open
Mashonaland West,Makonde,Makonde,Kanyaga RDC Clinic,Kanyanga - 100702 - Clinic,AAZhENxl6fW,ZW040488,ZW04,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Mashonaland West,Hurungwe,Hurungwe,Kapfunde Clinic,Kapfunde - 100706 - Council Clinic,FlnO6SLGkoS,ZW040291,ZW04,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Mashonaland Central,Mt Darwin,Mt Darwin,KARANDA HOSPITAL,Karanda - 100709 - Mission Hospital,zhngjlBBq8a,ZW02050B,ZW02,,,,,192.168.1.24,ZIMTTECH,MISSION HOSPITAL,MISSION,Rural,Secondary,Open
Mashonaland East,UMP,UMP,Karimbika Rural Health Centre,Karimbika - 100713 - Rural Health Centre,tK6PvmnXlXx,ZW030302,ZW03,,,,,192.168.10.1,ZIMTTECH,RHC,Government,Rural,clinic,Active
Mashonaland West,Hurungwe,Hurungwe,Karoi District Hospital,Karoi - 100715 - District Hospital,VNjdYsWixGj,ZW04020A,ZW04,,,,,,,District Hospital,Government,Urban,Secondary,Open
Mashonaland West,Hurungwe,Hurungwe,Karoi Static Clinic,Karoi Static -101847 - Clinic,fu7mCEGiPDN,ZW040261,ZW04,,,,,192.168.10.1,ZIMTTECH,RDC,Town/City Council,Urban,Primary,Open
Mashonaland West,Hurungwe,Hurungwe,Kasimure RHC,Kasimube - 100717 - Rural Health Centre,IE7VibyIDHH,ZW040294,ZW04,,,,,192.168.10.1,ZIMTTECH,RHC,Government,Rural,Primary,Open
Mashonaland West,Chegutu,Chegutu,Katanga Utano Clinic,Katanga utano - 100719 - Municipality,AovMStawZQF,ZW040147,ZW04,,,,,192.168.10.2,ZIMTTECH,RHC,Town/City Council,Urban,Primary,Open
Manicaland,Makoni,Makoni,Katsenga Rural Health Centre,Katsenga - 100723 - Rural Health Centre,ciscgPAvSgq,ZW010410,ZW01,,,,,,,RHC,Government,Rural,Primary ,Open
Mashonaland West,Hurungwe,Hurungwe,Kazangarare Clinic,Kazangarare - 100727 - Gvt Council,qUHcE4ErSLH,ZW040227,ZW04,,,,,10.67.26.2,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Mash West,Zvimba,Zvimba,Kemurara RDC Clinic,Kemurara - 100728 - Rural Health Centre,HpLqndJUr74,ZW040779,ZW04,,,,,,ZIMTTECH,RDC,Rural Council,Rural,Primary,RURAL
Mashonaland West,Makonde,Makonde,Kenzamba Rural Health Centre,Kenzamba - 100731 - Clinic,GW3nlgDs9xm,ZW040406,ZW04,,,,,,ZIMTTECH,RHC,Government,Rural,Primary,Open
Matabeleland South,Matobo,Matobo,Kezi Rural Hospital,Kezi - 100732 - Rural Hospital,FDm9hBNYb99,ZW06050B,ZW06,,,,,,Ophid,Rural Hospital,Government,Rural,,
Bulawayo,Northern Surbubs,Bulawayo,Khami Road Clinic,Khami - 100733 - Clinic,HTOW8SwHLtO,ZW090A05,ZW09,,,,,10.9.4.3,Ophid,Clinic,Town/City Council,Urban,Primary,Open
Matabeleland South,Insiza,Insiza,Kombo Health Post,Kombo - 100734 - Clinic,Ct34hgdcaQf,ZW060428,ZW06,,,,,,Ophid,RDC,Rural Council,Rural,,
Manicaland,Chipinge,Chipinge,Kondo Clinic,Kondo - 100735 - Clinic,E5TbMMc7bA3,ZW010328,ZW01,,,,,192.168.10.2,ZHI,RDC,Rural Council,Rural,Primary,Open
Midlands,Mberengwa,Mberengwa,Kotokwe,Kotokwe - 100739 - Clinic,sBdgbB2fR3S,ZW070608,ZW07,,,,,,ZHI,,,,,
Mashonaland East,Goromonzi,Goromonzi,Kowoyo Clinic,Kowoyo - 100742 - Clinic,pME5ihuWYf5,ZW030227,ZW03,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,clinic,Active
Midlands,Gokwe South,Gokwe South,Krima Clinic,Krima - 100743 - Clinic,iIJY7AzDu3b,ZW070330,ZW07,,,,,,,RDC,Rural Council,Rural,Primary,
Mashonaland East,Goromonzi,Goromonzi,Kubatsirana Clinic,Kubatsirana - 100744 - Clinic,ddofD4xrcKS,ZW030248,ZW03,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,clinic,Active
Matabeleland South,Umzingwane,Umzingwane,Kumbudzi RHC,Kumbuzi - 100745 - Rural Health Centre,RbPl86Ek1pJ,ZW060601,ZW06,,,,,192.168.10.1,Ophid,RHC,Government,Rural,,
Mashonaland East,Seke,Seke,Kunaka Hospital,Kunaka - 100746 - Rural Hospital,OU0gHuwRZtW,ZW03090B,ZW03,,,,,10.79.7.3.,ZIMTTECH,Rural Hospital,Rural Council,Rural,Hospital,Active
