Province,District,Recency District,Facility,DATIM Site Name,DATIM Org ID,Facility ID,Province Code,District Code,EHR Version,Activation Status,EHR Type,IP Address,Implementing Partner,Type,Ownership,Location,Level,Status
Bulawayo,Northern Surbubs,Bulawayo,Ceshhar Clinic,Ceshhar Clinic,Bnxui2aaMdQ,ZW090A49,ZW09,,,,,,,Clinic,Private,Urban,Primary,Open
Mashonaland East,Goromonzi,Goromonzi,Chabwino Clinic,Chabwino Clinic,x7uSrjLfBIz,ZW030280,ZW03,,,,,,ZIMTTECH,RDC,Rural Council,Rural,clinic,Active
Midlands,Mberengwa,Mberengwa,Chabwira,Chabwira - 100122 - Clinic,TdlbemyPNd1,ZW070626,ZW07,,,,,,ZHI,,,,,
Mashonaland West,Sanyati,Sanyati,Chakari Mine Clinic,Chakari - 100125 - Mine Clinic,sWdIWNMmkKd,ZW040689,ZW04,,,,,,,RHC,Mine,Rural,Primary,Open
Masvingo,Chiredzi,Chiredzi,Chambuta Clinic,Chambuta - 100131 - Clinic,Ah71A5p6U9l,ZW080201,ZW08,,,,,,,RHC,Government,Rural,Primary,Open
Matabeleland South,Beitbridge,Beitbridge,Chamnangana Clinic,Chamunangana - 100132 - Clinic,OF8acIjcyKQ,ZW060177,ZW06,,,,,,,RDC,Rural Council,Rural,,
Manicaland,Chipinge,Chipinge,Changazi clinic,Changazi clinic,RnXQpW4if0z,ZW010319,ZW01,,,,,,,RHC,Government,Rural,Primary,Open
Manicaland,Buhera,Buhera,Chapanduka,Chapanduka - 100134 - Clinic,Di7OHhpjIr2,ZW010127,ZW01,,,,,,ZHI,RDC,Rural Council,Rural,Primary,Open
Mashonaland Central,Mbire,Mbire,Chapoto Clinic,Chapoto - 100135 - Clinic,c4EBHa1fIyB,ZW020820,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Rural Council,Rural,Primary,Open
Manicaland,Buhera,Buhera,Chapwanya,Chapwanya - 100136 - Clinic,XWTWzUKR92m,ZW010128,ZW01,,,,,,ZHI,RDC,Rural Council,Rural,Primary,Open
Masvingo,Masvingo,Masvingo,Charumbira Clinic,Charumbira - 100141 - Clinic,TmpVq0GSnlG,ZW080525,ZW08,,,,,192.168.10.1,OPHID/Kapinek,Clinic,RDC,Rural,Primary,Open
Masvingo,Chivi,Chivi,Chasiyatende Clinic,Chasiyatende Clinic,UN9Jg1BwqT5,ZW080317,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Matabeleland South,Beitbridge,Beitbridge,Chaswingo Clinic,Chasvingo - 100143 - Clinic,mzisptcnWiW,ZW060125,ZW06,,,,,,,RDC,Rural Council,Rural,,
Masvingo,Masvingo,Masvingo,Chatikobo Clinic,Chatikobo - 100144 - Clinic,DthvHWxwhl8,ZW080526,ZW08,,,,,192.168.10.1,OPHID/Kapinek,Clinic,RDC,Rural,Primary,Open
Mashonaland Central,Mt Darwin,Mt Darwin,CHAWANDA,Chawanda - 100146 - Clinic,G1nlIWi4Bbv,ZW020525,ZW02,,,,,192.168.10.1,ZIMTTECH,COUNCIL CLINIC,COUNCIL,Rural,Primary,Open
Midlands,Mberengwa,Mberengwa,Chaza Clinic,Chaza - 101873 - Clinic,E0ZtvGWVlYJ,ZW070642,ZW07,,,,,,ZHI,RDC,Rural Council,Rural,Primary,Open
Mash West,Sanyati,Sanyati,Chegutu 6 - 100154 - Clinic,Chegutu 6 - 100154 - Clinic,kfRsOHTYdNb,ZW040626,ZW04,,,,,,ZIMTTECH,,,,,
Mashonaland West,Chegutu,Chegutu,Chegutu Clinic,Chegutu CBDS Clinic,XmPVYkmHx6D,ZW040145,ZW04,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Urban,Primary,Open
Mashonaland West,Chegutu,Chegutu,Chegutu District Hospital,Chegutu - 100153 - District Hospital,IIjgprykVWn,ZW04010A,ZW04,,,,,10.67.4.2,ZIMTTECH,District Hospital,Government,Urban,Secondary,Open
